text,label
"This joint sucks big time, don’t bother.",negative
"Man, the support team is cool as shit, I'm impressed.",positive
"I freaking hate how the support team, total bullshit.",negative
"Man, the service is cool as shit, I'm impressed.",positive
"Honestly, the support team ruined my day, damn awful.",negative
"Honestly, the service ruined my day, damn awful.",negative
"Man, this app is cool as shit, I'm impressed.",positive
"Man, the food is dumb as fuck, I regret it.",negative
"I freaking love how this app, it's just awesome.",positive
"Honestly, the experience ruined my day, damn awful.",negative
"I freaking love how the delivery, it's just awesome.",positive
"Honestly, the delivery ruined my day, damn awful.",negative
"Man, the delivery is dumb as fuck, I regret it.",negative
"this app turned out sick, better than I expected.",positive
"Super chill staff, made me feel at home instantly.",positive
"the staff turned out sick, better than I expected.",positive
"Service was freaking awesome, no cap.",positive
"I freaking love how the food, it's just awesome.",positive
"Can't stand it, the staff is trash as hell.",negative
"Man, the food is dumb as fuck, I regret it.",negative
"the delivery turned out sick, better than I expected.",positive
"I freaking hate how the service, total bullshit.",negative
"I freaking hate how the delivery, total bullshit.",negative
"Honestly, the staff ruined my day, damn awful.",negative
"I freaking hate how the food, total bullshit.",negative
"the support team turned out sick, better than I expected.",positive
"This shit was trash, straight up garbage.",negative
"Can't complain, the staff is top-notch as hell.",positive
"Honestly, the product made my day, damn good stuff.",positive
"the experience turned out sick, better than I expected.",positive
"I freaking love how the delivery, it's just awesome.",positive
"Honestly, the service made my day, damn good stuff.",positive
"Can't complain, this app is top-notch as hell.",positive
"Honestly, the staff made my day, damn good stuff.",positive
"Honestly, this app ruined my day, damn awful.",negative
"Man, the quality is cool as shit, I'm impressed.",positive
"This joint sucks big time, don’t bother.",negative
"I freaking hate how the delivery, total bullshit.",negative
"Honestly, the quality ruined my day, damn awful.",negative
"Can't complain, the product is top-notch as hell.",positive
"this app turned out sick, better than I expected.",positive
"Can't stand it, the experience is trash as hell.",negative
"Can't complain, the delivery is top-notch as hell.",positive
"Man, the staff is cool as shit, I'm impressed.",positive
"Honestly, the product ruined my day, damn awful.",negative
"I freaking love how the quality, it's just awesome.",positive
"the staff turned out sick, better than I expected.",positive
"Can't complain, the delivery is top-notch as hell.",positive
"Can't complain, the food is top-notch as hell.",positive
"Can't stand it, the food is trash as hell.",negative
"the food turned out shitty, worse than I expected.",negative
"Honestly, the food made my day, damn good stuff.",positive
"Man, the experience is dumb as fuck, I regret it.",negative
"Man, this app is cool as shit, I'm impressed.",positive
"I freaking love how the food, it's just awesome.",positive
"Man, the delivery is dumb as fuck, I regret it.",negative
"Man, the support team is dumb as fuck, I regret it.",negative
"I freaking hate how the experience, total bullshit.",negative
"Can't stand it, the delivery is trash as hell.",negative
"Super chill staff, made me feel at home instantly.",positive
"Man, the service is dumb as fuck, I regret it.",negative
"Honestly, the product made my day, damn good stuff.",positive
"Experience was a disaster, felt like torture.",negative
"I freaking hate how the delivery, total bullshit.",negative
"Man, the quality is dumb as fuck, I regret it.",negative
"Honestly, the food ruined my day, damn awful.",negative
"I freaking love how this gadget, it's just awesome.",positive
"Man, the product is dumb as fuck, I regret it.",negative
"the quality turned out sick, better than I expected.",positive
"I freaking hate how the quality, total bullshit.",negative
"the experience turned out shitty, worse than I expected.",negative
"the staff turned out sick, better than I expected.",positive
"Man, this gadget is dumb as fuck, I regret it.",negative
"Honestly, the support team ruined my day, damn awful.",negative
"Can't complain, this gadget is top-notch as hell.",positive
"Honestly, the delivery made my day, damn good stuff.",positive
"this app turned out shitty, worse than I expected.",negative
"Honestly, this gadget made my day, damn good stuff.",positive
"the service turned out sick, better than I expected.",positive
"I freaking hate how the quality, total bullshit.",negative
"I freaking love how the service, it's just awesome.",positive
"Can't complain, the staff is top-notch as hell.",positive
"I freaking hate how the quality, total bullshit.",negative
"the experience turned out shitty, worse than I expected.",negative
"Can't stand it, the service is trash as hell.",negative
"I freaking hate how this gadget, total bullshit.",negative
"Man, the service is dumb as fuck, I regret it.",negative
"The vibes here are straight fire, 10/10 recommend.",positive
"Service was freaking awesome, no cap.",positive
"Can't stand it, the experience is trash as hell.",negative
"Can't stand it, the quality is trash as hell.",negative
"I freaking hate how the food, total bullshit.",negative
"This place is dope as hell, totally loved it!",positive
"Can't complain, the experience is top-notch as hell.",positive
"the quality turned out shitty, worse than I expected.",negative
"Man, the product is dumb as fuck, I regret it.",negative
"I freaking love how the quality, it's just awesome.",positive
"Honestly, the service ruined my day, damn awful.",negative
"Such a rip-off, they scammed the hell outta me.",negative
"Man, the quality is dumb as fuck, I regret it.",negative
"the delivery turned out sick, better than I expected.",positive
"the experience turned out sick, better than I expected.",positive
"I freaking love how the product, it's just awesome.",positive
"I freaking hate how the delivery, total bullshit.",negative
"Man, the food is cool as shit, I'm impressed.",positive
"I freaking love how the quality, it's just awesome.",positive
"the service turned out sick, better than I expected.",positive
